"puolue","puolue_lyh","aani_pros","aani_pros_d_ed07","aani_pros_d_kv07","lkm","lkm_d_ed07","lkm_d_kv07","paikkoja","paikkoja_muutos"
"Suomen Keskusta","KESK",15.8,-7.3,-4.3,463160,-177268,-50040,35,-16
"Kansallinen Kokoomus","KOK",20.4,-1.9,-3.1,598369,-18472,-779,44,-6
"Suomen Sosialidemokraattinen Puolue","SDP",19.1,-2.3,-2.1,561049,-33145,18927,42,-3
"Vasemmistoliitto","VAS",8.1,-0.7,-0.7,238473,-5823,14303,14,-3
"Vihreä liitto","VIHR",7.2,-1.3,-1.7,212837,-21592,-15440,10,-5
"Suomen Kristillisdemokraatit (KD)","KD",4,-0.9,-0.2,118514,-16276,11678,6,-1
"Suomen ruotsalainen kansanpuolue","RKP",4.3,-0.3,-0.4,125865,-655,5639,9,0
"Perussuomalaiset","PS",19,14.9,13.6,559342,447086,421584,39,34
"Suomen Kommunistinen Puolue","SKP",0.3,-0.4,-0.2,9375,-8902,-4611,0,0
"Suomen Senioripuolue","SSP",0.1,-0.5,0,3183,-13532,565,0,0
"Kommunistinen Työväenpuolue - Rauhan ja Sosialismin puolesta","KTP",0.1,0,0.1,1678,-329,613,0,0
"Suomen Työväenpuolue STP","STP",0.1,0,0.1,1874,110,1171,0,0
"Itsenäisyyspuolue","ITSP",0.1,-0.1,0,3389,-2152,1907,0,0
"Köyhien Asialla","KOY",0,-0.1,0,1326,-1195,267,0,0
"Piraattipuolue","PIR",0.5,0.5,0.5,15164,15164,15164,0,0
"Muutos 2011","M11",0.3,0.3,0.3,7480,7480,7480,0,0
"Vapauspuolue (VP) - Suomen tulevaisuus","VP",0.1,0.1,0.1,4266,4266,4266,0,0
"Muut ryhmät","MUUT",0.4,-0.1,-2,11742,-846,-49927,1,0
